,x,y,time
373,[66074 75696 76739 86253],[42597 34669 68604 42959],1509232340859
374,[66014 75697 76735 86303],[42617 34618 68600 42993],1509232340867
375,[65962 75694 76735 86333],[42639 34580 68601 43015],1509232340877
376,[65945 75685 76737 86346],[42645 34562 68599 43020],1509232340887
377,[65961 75686 76733 86350],[42639 34567 68602 43020],1509232340897
378,[65996 75700 76736 86346],[42630 34591 68605 43018],1509232340907
379,[66029 75706 76742 86322],[42617 34618 68606 43004],1509232340917
380,[66054 75694 76741 86274],[42609 34650 68607 42979],1509232340928
381,[66075 75682 76742 86222],[42602 34689 68608 42953],1509232340937
382,[66107 75678 76744 86187],[42591 34723 68610 42935],1509232340947
383,[66140 75685 76742 86166],[42579 34748 68614 42924],1509232340957
384,[66166 75688 76743 86152],[42569 34765 68613 42915],1509232340967
385,[66173 75685 76748 86132],[42567 34779 68612 42904],1509232340977
386,[66172 75681 76747 86122],[42569 34783 68612 42899],1509232340987
387,[66172 75684 76747 86130],[42568 34777 68611 42902],1509232340997
388,[66170 75688 76745 86147],[42567 34769 68612 42909],1509232341007
389,[66160 75688 76744 86151],[42570 34763 68612 42914],1509232341017
390,[66146 75683 76747 86153],[42575 34754 68609 42916],1509232341028
391,[66141 75682 76743 86161],[42577 34745 68611 42919],1509232341037
392,[66139 75688 76741 86172],[42578 34741 68612 42925],1509232341047
393,[66143 75689 76742 86174],[42577 34743 68610 42925],1509232341057
394,[66140 75687 76743 86167],[42578 34745 68610 42923],1509232341068
395,[66142 75687 76746 86163],[42577 34747 68610 42921],1509232341077
396,[66147 75687 76744 86164],[42575 34749 68611 42921],1509232341087
397,[66150 75687 76744 86161],[42575 34753 68612 42919],1509232341097
398,[66146 75683 76744 86156],[42575 34754 68612 42918],1509232341107
399,[66144 75683 76743 86158],[42576 34752 68611 42918],1509232341117
400,[66149 75686 76743 86161],[42574 34750 68612 42919],1509232341127
401,[66150 75689 76742 86163],[42574 34751 68612 42921],1509232341137
402,[66146 75687 76744 86163],[42575 34750 68612 42922],1509232341147
403,[66144 75686 76744 86162],[42576 34748 68611 42920],1509232341157
404,[66144 75685 76744 86163],[42576 34748 68611 42921],1509232341167
405,[66146 75686 76744 86162],[42575 34750 68611 42921],1509232341177
406,[66145 75685 76742 86161],[42575 34750 68612 42920],1509232341188
407,[66145 75685 76743 86161],[42576 34749 68611 42919],1509232341197
408,[66146 75686 76744 86163],[42575 34750 68611 42921],1509232341207
409,[66147 75688 76746 86163],[42575 34750 68610 42921],1509232341217
410,[66147 75688 76743 86163],[42576 34749 68611 42921],1509232341227
411,[66146 75686 76742 86161],[42576 34749 68612 42920],1509232341237
